"ID-Nome;Sexo;Cidade/Estado;Nascimento;Data de adesão;Tipo;Ultima_compra;Forma_Pagamento;Valor_Gasto"
"17-Patrícia Costa;Feminino;Candeias do Jamari/RO;09/07/1957;17/08/2022;C;18/09/2022;CARTÃO DE CRÉDITO;1620"
"18-Danilo Mendes;Masculino;Colorado do Oeste/RO;30/01/1964;10/07/2022;C;14/07/2022;PARCELADO;5150"
"19-Joaquim Silveira;Masculino;Costa Marques/RO;09/05/1990;20/07/2022;;20/07/2022;BOLETO;5150"
"20-Natália Castro;Feminino;Seringueiras/RO;08/04/1956;22/08/2022;C;12/09/2022;PIX;4618"
"21-Ana Castro;Feminino;Chupinguaia/RO;22/03/1967;16/08/2022;A;12/09/2022;PIX;7480"
"22-Raquel Campos;Feminino;Pimenta Bueno/RO;09/11/1979;07/07/2022;C;18/07/2022;PARCELADO;4618"
"23-Márcia Araújo;Feminino;Candeias do Jamari/RO;28/05/1956;09/07/2022;C;28/09/2022;PARCELADO;5150"
"24-Nathan Ramos;Masculino;Itapuã do Oeste/RO;22/10/1962;25/07/2022;A;17/09/2022;CARTÃO DE CRÉDITO;1556"
"25-João Lucas Pires;Masculino;Vale do Paraíso/RO;19/09/1986;06/07/2022;;04/08/2022;PARCELADO;7480"
"26-Renata Oliveira;Feminino;Cacaulândia/RO;26/12/1976;01/07/2022;C;25/08/2022;PIX;1182"
"27-Ana Ferreira;Feminino;Alta Floresta D'Oeste/RO;23/01/1972;03/08/2022;C;12/08/2022;PARCELADO;8899"
"28-Henrique Alves;Masculino;Novo Horizonte do Oeste/RO;04/10/1971;09/07/2022;C;13/07/2022;CARTÃO DE DÉBITO;5150"
"29-André Machado;Masculino;Nova Brasilândia D'Oeste/RO;28/11/1996;11/07/2022;A;25/07/2022;PARCELADO;7480"
"30-Valentina Correia;Feminino;Costa Marques/RO;04/02/1957;17/07/2022;C;26/07/2022;PARCELADO;3180"
"31-Dr. Joaquim Lopes;Masculino;Ji-Paraná/RO;05/08/1969;31/07/2022;;11/08/2022;PARCELADO;1556"
"32-Sabrina Monteiro;Feminino;Alto Paraíso/RO;28/02/1974;05/07/2022;C;29/07/2022;PARCELADO;3180"
"33-Mariana Nascimento;Feminino;Governador Jorge Teixeira/RO;18/06/1977;16/08/2022;C;27/09/2022;CARTÃO DE CRÉDITO;3180"
"34-Sophia Moraes;Feminino;Cacoal/RO;22/03/1968;01/07/2022;C;28/07/2022;PARCELADO;8899"
"35-Cristiane Silveira;Feminino;Machadinho D'Oeste/RO;28/03/1957;11/07/2022;C;22/07/2022;PIX;8899"
"36-Vítor Rocha;Masculino;Espigão D'Oeste/RO;03/03/2001;05/08/2022;C;25/08/2022;PARCELADO;1492"
"37-João Guilherme Fonseca;Masculino;Cujubim/RO;15/08/1969;17/07/2022;A;04/09/2022;PARCELADO;3803"
"38-Dr. Marcelo Costa;Masculino;Cerejeiras/RO;20/07/1994;30/08/2022;C;25/09/2022;CARTÃO DE CRÉDITO;5150"
"39-Renata Carvalho;Feminino;Teixeirópolis/RO;16/08/1982;15/08/2022;A;22/08/2022;PARCELADO;789"
"40-Pietro Souza;Masculino;Cacoal/RO;19/05/1998;08/08/2022;B;30/09/2022;PARCELADO;7480"
"41-Henrique Ribeiro;Masculino;Colorado do Oeste/RO;12/03/1960;22/07/2022;B;19/08/2022;PARCELADO;4618"
"42-Miguel Teixeira;Masculino;Theobroma/RO;01/09/2003;08/07/2022;C;12/08/2022;PARCELADO;2054"
"43-Raul Mendes;Masculino;Cacoal/RO;28/09/1990;20/08/2022;;21/08/2022;CARTÃO DE CRÉDITO;2054"
"44-Marcelo Vieira;Masculino;Teixeirópolis/RO;31/08/1998;02/07/2022;C;11/09/2022;PARCELADO;1048"
"45-Valentina Silveira;Feminino;Pimenteiras do Oeste/RO;03/04/1972;12/08/2022;B;22/09/2022;PARCELADO;2054"
"46-Lucas Freitas;Masculino;Corumbiara/RO;27/12/1990;10/08/2022;C;21/09/2022;CARTÃO DE CRÉDITO;789"
"47-Beatriz Ribeiro;Feminino;Porto Velho/RO;15/08/1970;09/08/2022;B;12/08/2022;PARCELADO;8899"
"48-Beatriz Ferreira;Feminino;Alto Paraíso/RO;30/09/1959;11/07/2022;C;18/09/2022;PARCELADO;789"
"49-Cláudia Teixeira;Feminino;Chupinguaia/RO;25/06/1957;09/07/2022;;12/09/2022;CARTÃO DE CRÉDITO;6235"
"50-Patrícia Campos;Feminino;Cerejeiras/RO;07/03/1962;20/08/2022;C;13/09/2022;PIX;3180"
"51-Carolina Carvalho;Feminino;Cacoal/RO;19/12/1981;29/08/2022;B;05/09/2022;PIX;4618"
"52-Daniela Monteiro;Feminino;Alto Alegre dos Parecis/RO;27/07/1978;01/07/2022;C;27/07/2022;PIX;1620"
"53-Joaquim Oliveira;Masculino;Monte Negro/RO;16/07/1998;01/07/2022;B;10/09/2022;PARCELADO;2054"
"54-Mariana Castro;Feminino;Buritis/RO;15/07/1996;25/07/2022;C;20/08/2022;PARCELADO;3803"
"55-Bruna Fonseca;Feminino;Theobroma/RO;01/05/1970;02/07/2022;C;19/07/2022;CARTÃO DE CRÉDITO;789"
"56-Vinícius Castro;Masculino;Ministro Andreazza/RO;06/06/1995;29/08/2022;B;11/09/2022;CARTÃO DE DÉBITO;1182"
"57-Lucca Pereira;Masculino;Guajará-Mirim/RO;09/06/1968;07/08/2022;C;28/08/2022;CARTÃO DE CRÉDITO;3803"
"58-Miguel Ferreira;Masculino;Colorado do Oeste/RO;22/05/1968;22/07/2022;C;13/09/2022;PARCELADO;3180"
"59-Vitória Pereira;Feminino;Vilhena/RO;24/09/1998;17/08/2022;C;23/08/2022;CARTÃO DE DÉBITO;5150"
"60-Joaquim Sales;Masculino;Corumbiara/RO;20/11/1979;08/08/2022;C;11/08/2022;BOLETO;1048"
"61-Carolina Correia;Feminino;Santa Luzia D'Oeste/RO;30/11/1960;10/08/2022;;19/09/2022;BOLETO;1620"
"62-Márcia Mendes;Feminino;Rolim de Moura/RO;28/09/1965;28/08/2022;A;29/09/2022;CARTÃO DE CRÉDITO;1182"
"63-Amanda Araújo;Feminino;Corumbiara/RO;30/12/1970;12/08/2022;A;18/08/2022;PIX;1492"
"64-Larissa Cunha;Feminino;Guajará-Mirim/RO;02/07/1961;28/08/2022;C;05/09/2022;PARCELADO;1492"
"65-Arthur Ramos;Masculino;Theobroma/RO;23/09/1988;06/07/2022;;25/07/2022;CARTÃO DE CRÉDITO;1556"
"66-Larissa Coelho;Feminino;Castanheiras/RO;09/05/1968;27/07/2022;C;27/09/2022;PARCELADO;6235"
"67-Pietro Moraes;Masculino;Castanheiras/RO;13/03/1968;16/07/2022;;23/07/2022;BOLETO;3803"
"68-Mariana Souza;Feminino;Vilhena/RO;14/11/2002;10/08/2022;C;15/08/2022;PIX;6235"
"69-Raul Cunha;Masculino;Machadinho D'Oeste/RO;22/01/2002;20/07/2022;B;04/09/2022;BOLETO;1492"
"70-Diego Azevedo;Masculino;Vale do Anari/RO;10/05/1960;16/08/2022;C;13/09/2022;PIX;7480"
"71-Raquel Santos;Feminino;Guajará-Mirim/RO;20/12/1991;21/07/2022;A;09/09/2022;PARCELADO;5150"
"72-Joaquim Monteiro;Masculino;Cerejeiras/RO;04/11/2001;08/08/2022;;09/09/2022;BOLETO;8899"
"73-João Guilherme Cunha;Masculino;Cabixi/RO;09/07/1979;27/07/2022;C;19/08/2022;PARCELADO;3180"
"74-Cristiane Gomes;Feminino;Novo Horizonte do Oeste/RO;29/04/2003;22/07/2022;C;01/08/2022;CARTÃO DE DÉBITO;7480"
"75-Guilherme Alves;Masculino;Chupinguaia/RO;11/09/1985;22/07/2022;C;23/07/2022;CARTÃO DE CRÉDITO;1048"
"76-Lucca Lopes;Masculino;Vale do Anari/RO;06/12/1987;16/08/2022;B;06/09/2022;CARTÃO DE DÉBITO;6235"
"77-Alice Batista;Feminino;Corumbiara/RO;04/11/1975;19/08/2022;;03/09/2022;PARCELADO;1048"
"78-André Duarte;Masculino;Alvorada D'Oeste/RO;26/10/2003;17/07/2022;C;23/08/2022;PIX;6235"
"79-Camila Moraes;Feminino;Vale do Paraíso/RO;23/01/1965;10/07/2022;C;10/09/2022;PIX;5150"
"80-Raul Mendes;Masculino;Ariquemes/RO;28/04/1971;31/08/2022;A;13/09/2022;CARTÃO DE CRÉDITO;1182"
"81-João Guilherme Fonseca;Masculino;Governador Jorge Teixeira/RO;30/07/1972;16/07/2022;C;16/07/2022;PARCELADO;2054"
"82-Patrícia Correia;Feminino;Alta Floresta D'Oeste/RO;20/10/2000;15/07/2022;;27/08/2022;PARCELADO;5150"
"83-Cauã Monteiro;Masculino;Espigão D'Oeste/RO;28/04/1989;13/08/2022;A;23/09/2022;PARCELADO;2054"
"84-Manuela Moreira;Feminino;Governador Jorge Teixeira/RO;05/09/1980;09/07/2022;A;12/07/2022;PARCELADO;1182"
"85-Pietro Silveira;Masculino;Governador Jorge Teixeira/RO;15/01/1966;27/07/2022;C;31/08/2022;PARCELADO;1182"
"86-João Lucas Moreira;Masculino;Mirante da Serra/RO;18/07/1963;28/07/2022;C;27/09/2022;CARTÃO DE DÉBITO;2622"
"87-Laura Santos;Feminino;Jaru/RO;12/07/1958;19/07/2022;C;29/07/2022;PARCELADO;2622"
"88-Theo Lopes;Masculino;Ariquemes/RO;12/05/1998;16/08/2022;A;20/09/2022;BOLETO;8899"
"89-João Guilherme Pereira;Masculino;Alto Alegre dos Parecis/RO;16/05/1972;24/07/2022;C;17/09/2022;PARCELADO;1492"
"90-Camila Barbosa;Feminino;Alto Alegre dos Parecis/RO;23/04/1963;23/07/2022;C;21/09/2022;PARCELADO;2622"
"91-Nicolas Moreira;Masculino;Theobroma/RO;03/12/1973;10/08/2022;;22/08/2022;PARCELADO;4618"
"92-Rafael Batista;Masculino;Porto Velho/RO;09/08/1977;08/08/2022;B;19/09/2022;PIX;3803"
"93-André Cardoso;Masculino;Rolim de Moura/RO;10/10/1958;23/07/2022;;27/07/2022;PARCELADO;8899"
"94-Nicolas Rezende;Masculino;São Miguel do Guaporé/RO;27/01/1965;11/08/2022;C;28/08/2022;PARCELADO;3803"
"95-André Sales;Masculino;São Felipe D'Oeste/RO;27/12/1974;19/08/2022;;29/09/2022;PIX;1492"
"96-Renata Silveira;Feminino;Cacoal/RO;21/08/1979;27/07/2022;C;08/08/2022;PIX;1048"
"97-Thales Cunha;Masculino;Guajará-Mirim/RO;08/11/1977;05/08/2022;B;28/08/2022;PARCELADO;1182"
"98-Lucca Alves;Masculino;Nova Mamoré/RO;24/08/1965;24/08/2022;A;11/09/2022;PARCELADO;7480"
"99-Beatriz Martins;Feminino;Chupinguaia/RO;06/03/2003;05/08/2022;C;01/09/2022;BOLETO;789"
"100-Mariana Santos;Feminino;Cabixi/RO;26/09/1995;15/07/2022;C;19/08/2022;PARCELADO;1182"
"101-Theo Araújo;Masculino;Cacaulândia/RO;23/02/1974;02/07/2022;B;24/08/2022;CARTÃO DE DÉBITO;1492"
"102-Camila Campos;Feminino;Seringueiras/RO;05/09/1963;13/08/2022;B;04/09/2022;CARTÃO DE CRÉDITO;3803"
"103-Bianca Sales;Feminino;Vale do Paraíso/RO;18/03/1999;29/08/2022;A;03/09/2022;PARCELADO;1182"
"104-Rafael Mata;Masculino;Theobroma/RO;07/09/1975;29/07/2022;C;15/09/2022;CARTÃO DE CRÉDITO;1182"
"105-Pedro Lima;Masculino;Governador Jorge Teixeira/RO;14/06/1960;15/08/2022;C;30/09/2022;PARCELADO;7480"
"106-Theo Moraes;Masculino;Governador Jorge Teixeira/RO;22/03/1975;27/08/2022;C;23/09/2022;CARTÃO DE CRÉDITO;3803"
"107-Laura Silveira;Feminino;Governador Jorge Teixeira/RO;19/04/1959;13/08/2022;C;28/09/2022;CARTÃO DE CRÉDITO;4618"
"108-Daniela Coelho;Feminino;Vale do Anari/RO;10/11/1997;30/07/2022;B;21/08/2022;BOLETO;3180"
"109-Rafael Ferreira;Masculino;Alto Paraíso/RO;17/01/1957;06/07/2022;B;28/07/2022;PARCELADO;1620"
"110-Lucas Barbosa;Masculino;Porto Velho/RO;16/02/1961;22/07/2022;A;04/09/2022;BOLETO;8899"
"111-Bruna Vieira;Feminino;Vale do Paraíso/RO;12/01/1995;30/07/2022;C;29/08/2022;BOLETO;7480"
"112-Larissa Fonseca;Feminino;Rolim de Moura/RO;24/05/2001;09/07/2022;C;07/09/2022;PIX;5150"
"113-Rodrigo Correia;Masculino;Seringueiras/RO;29/10/1987;10/07/2022;B;12/09/2022;PARCELADO;1620"
"114-Vitória Teixeira;Feminino;Mirante da Serra/RO;13/12/1975;06/08/2022;C;15/08/2022;PARCELADO;5150"
"115-Sabrina Souza;Feminino;São Felipe D'Oeste/RO;06/10/1987;24/08/2022;C;22/09/2022;PARCELADO;8899"
"116-Beatriz Castro;Feminino;Castanheiras/RO;25/04/1992;10/07/2022;C;16/09/2022;PARCELADO;5150"
"117-Gabriel Freitas;Masculino;São Francisco do Guaporé/RO;14/05/1959;20/08/2022;;05/09/2022;CARTÃO DE CRÉDITO;1620"
"118-Isabela Mendes;Feminino;Buritis/RO;05/01/2001;13/08/2022;C;11/09/2022;CARTÃO DE CRÉDITO;2054"
"119-Guilherme Monteiro;Masculino;Corumbiara/RO;17/06/1993;05/07/2022;C;28/09/2022;PARCELADO;8899"
"120-Carolina Silveira;Feminino;Castanheiras/RO;19/04/1986;18/07/2022;C;26/08/2022;PARCELADO;789"
"121-Theo Batista;Masculino;Seringueiras/RO;11/11/1966;06/07/2022;A;21/07/2022;PIX;2622"
"122-Mariana Rezende;Feminino;Ariquemes/RO;28/01/1999;28/08/2022;C;07/09/2022;BOLETO;1620"
"123-Eduardo Souza;Masculino;Parecis/RO;07/03/1980;19/08/2022;C;04/09/2022;PARCELADO;1492"
"124-Natália Silveira;Feminino;Governador Jorge Teixeira/RO;02/05/1991;09/07/2022;C;24/07/2022;PARCELADO;4618"
"125-João Lucas Azevedo;Masculino;Governador Jorge Teixeira/RO;29/06/1977;01/08/2022;;04/08/2022;PARCELADO;1620"
"126-Vanessa Costa;Feminino;Nova União/RO;21/12/1994;16/08/2022;;20/08/2022;PARCELADO;1620"
"127-Bryan Freitas;Masculino;Vale do Paraíso/RO;27/04/2000;05/08/2022;C;20/08/2022;BOLETO;1492"
"128-Vitória Araújo;Feminino;Primavera de Rondônia/RO;07/11/1993;05/08/2022;C;25/08/2022;PARCELADO;3803"
"129-Sabrina Sales;Feminino;Cujubim/RO;25/08/1970;06/07/2022;C;11/07/2022;CARTÃO DE DÉBITO;3803"
"130-Gustavo Vieira;Masculino;Jaru/RO;04/09/1958;29/08/2022;C;30/08/2022;PARCELADO;7480"
"131-Bianca Duarte;Feminino;Porto Velho/RO;01/10/1957;11/08/2022;;06/09/2022;PARCELADO;4618"
"132-Caio Nascimento;Masculino;São Felipe D'Oeste/RO;13/07/2000;30/08/2022;A;02/09/2022;PIX;1620"
"133-Sophia Moraes;Feminino;Pimenteiras do Oeste/RO;21/12/1970;15/08/2022;A;23/09/2022;PARCELADO;2054"
"134-Gabriel Barbosa;Masculino;Colorado do Oeste/RO;02/08/1991;22/07/2022;C;17/09/2022;CARTÃO DE DÉBITO;6235"
"135-Breno Nogueira;Masculino;Costa Marques/RO;01/08/1991;03/07/2022;A;18/09/2022;PARCELADO;2054"
"136-Lucca Ferreira;Masculino;Rio Crespo/RO;01/11/1998;17/08/2022;A;03/09/2022;CARTÃO DE CRÉDITO;789"
"137-Débora Souza;Feminino;Nova Brasilândia D'Oeste/RO;28/02/1995;03/08/2022;C;03/09/2022;PARCELADO;3803"
"138-Natália Gomes;Feminino;Cabixi/RO;04/08/1977;01/08/2022;C;24/08/2022;PARCELADO;5150"
"139-Aline Machado;Feminino;Ouro Preto do Oeste/RO;16/01/1959;06/08/2022;C;09/08/2022;PIX;1492"
"140-Gabriela Mata;Feminino;Rolim de Moura/RO;13/04/1970;02/08/2022;C;17/08/2022;PARCELADO;1620"
"141-Cauã Ramos;Masculino;Guajará-Mirim/RO;14/11/1977;12/08/2022;A;16/08/2022;PARCELADO;3180"
"142-Amanda Mata;Feminino;Vale do Anari/RO;15/06/1971;08/08/2022;B;22/09/2022;PARCELADO;2054"
"143-Bruna Monteiro;Feminino;Ouro Preto do Oeste/RO;08/10/1956;14/07/2022;A;28/07/2022;CARTÃO DE CRÉDITO;789"
"144-Gabriel Carvalho;Masculino;Costa Marques/RO;11/04/2000;14/07/2022;B;21/09/2022;BOLETO;1620"
"145-Priscila Souza;Feminino;Pimenteiras do Oeste/RO;11/01/1988;05/07/2022;C;21/07/2022;PIX;5150"
"146-Gabriel Ferreira;Masculino;Parecis/RO;20/03/1976;03/08/2022;C;29/09/2022;CARTÃO DE CRÉDITO;2054"
"147-Vitória Araújo;Feminino;São Miguel do Guaporé/RO;12/06/1957;11/07/2022;C;15/07/2022;PARCELADO;1048"
"148-Thales Cardoso;Masculino;Santa Luzia D'Oeste/RO;02/04/1997;19/08/2022;C;29/09/2022;BOLETO;8899"
"149-Valentina Nascimento;Feminino;Santa Luzia D'Oeste/RO;20/07/1972;17/08/2022;C;20/09/2022;PARCELADO;1556"
"150-Carolina Ramos;Feminino;Novo Horizonte do Oeste/RO;19/02/1972;14/07/2022;C;02/08/2022;PARCELADO;1556"
"151-Vitória Souza;Feminino;Urupá/RO;28/05/1997;01/07/2022;C;12/08/2022;PIX;7480"
"152-Marcelo Carvalho;Masculino;Alto Alegre dos Parecis/RO;12/02/1999;30/08/2022;B;31/08/2022;PARCELADO;1620"
"153-Natália Azevedo;Feminino;Costa Marques/RO;18/06/1970;13/07/2022;C;26/07/2022;PARCELADO;4618"
"154-Vítor Silveira;Masculino;Monte Negro/RO;19/08/1986;31/08/2022;C;27/09/2022;PARCELADO;3180"
"155-Rafael Santos;Masculino;Colorado do Oeste/RO;29/09/1982;28/08/2022;C;19/09/2022;PARCELADO;1556"
"156-Gabriel Batista;Masculino;Rolim de Moura/RO;26/08/1959;26/08/2022;B;21/09/2022;PARCELADO;7480"
"157-Pietro Cardoso;Masculino;Buritis/RO;09/05/1968;23/07/2022;B;09/08/2022;BOLETO;1048"
"158-Larissa Vieira;Feminino;Santa Luzia D'Oeste/RO;22/09/1990;12/07/2022;C;12/07/2022;PARCELADO;2054"
"159-João Guilherme Monteiro;Masculino;Cerejeiras/RO;04/07/2003;17/08/2022;B;10/09/2022;CARTÃO DE CRÉDITO;1182"
"160-João Lucas Batista;Masculino;Campo Novo de Rondônia/RO;30/04/1973;23/07/2022;C;17/09/2022;PARCELADO;6235"
"161-Theo Coelho;Masculino;Vale do Paraíso/RO;28/01/1961;15/07/2022;C;16/08/2022;PARCELADO;5150"
"162-Fernanda Souza;Feminino;Alta Floresta D'Oeste/RO;22/02/1983;26/07/2022;C;06/08/2022;CARTÃO DE DÉBITO;3180"
"163-Daniela Carvalho;Feminino;Governador Jorge Teixeira/RO;30/05/1979;25/07/2022;A;26/09/2022;CARTÃO DE CRÉDITO;3803"
"164-Márcia Freitas;Feminino;Colorado do Oeste/RO;13/11/2002;02/08/2022;C;06/09/2022;PARCELADO;1620"
"165-Guilherme Souza;Masculino;Cujubim/RO;17/11/2000;18/07/2022;C;04/09/2022;CARTÃO DE CRÉDITO;8899"
"166-Renata Cunha;Feminino;Cacaulândia/RO;08/09/1965;12/08/2022;C;03/09/2022;PARCELADO;1048"
"167-Juliana Carvalho;Feminino;Teixeirópolis/RO;31/10/2000;14/07/2022;;18/08/2022;BOLETO;1492"
"168-Márcia Campos;Feminino;Seringueiras/RO;16/10/1991;17/08/2022;C;09/09/2022;BOLETO;1620"
"169-Pietro Santos;Masculino;Candeias do Jamari/RO;21/09/1987;15/07/2022;C;16/08/2022;PARCELADO;6235"
"170-Alice Moraes;Feminino;Jaru/RO;24/03/1956;24/07/2022;B;29/09/2022;PARCELADO;1620"
"171-Diego Correia;Masculino;Alto Alegre dos Parecis/RO;14/12/1964;01/08/2022;C;15/09/2022;BOLETO;3180"
"172-Bruna Ramos;Feminino;Nova União/RO;21/09/1976;08/08/2022;;16/08/2022;BOLETO;1048"
"173-Rafael Mata;Masculino;Rolim de Moura/RO;03/07/1980;19/07/2022;;19/07/2022;BOLETO;6235"
"174-Vinícius Vieira;Masculino;Nova Mamoré/RO;28/02/1979;21/08/2022;C;09/09/2022;CARTÃO DE DÉBITO;1556"
"175-João Felipe Souza;Masculino;Ji-Paraná/RO;30/10/1983;09/07/2022;C;18/07/2022;CARTÃO DE DÉBITO;1182"
"176-João Felipe Lima;Masculino;Cacoal/RO;02/05/1977;27/08/2022;B;28/09/2022;BOLETO;1492"
"177-Leonardo Nascimento;Masculino;Vale do Paraíso/RO;20/08/1977;22/08/2022;C;25/09/2022;PARCELADO;789"
"178-Gabriel Gomes;Masculino;Ji-Paraná/RO;24/09/1960;09/07/2022;C;17/08/2022;PARCELADO;1620"
"179-Dr. Diego Nogueira;Masculino;Primavera de Rondônia/RO;26/09/1959;21/08/2022;C;31/08/2022;PIX;789"
"180-Bianca Teixeira;Feminino;Primavera de Rondônia/RO;06/05/1967;19/07/2022;C;30/08/2022;PIX;7480"
"181-Danilo Castro;Masculino;Theobroma/RO;19/02/1956;30/07/2022;C;28/08/2022;CARTÃO DE DÉBITO;5150"
"182-Thales Correia;Masculino;Parecis/RO;18/06/1978;02/08/2022;C;14/09/2022;CARTÃO DE CRÉDITO;6235"
"183-Eduardo Cardoso;Masculino;Colorado do Oeste/RO;04/02/1983;23/07/2022;C;27/07/2022;CARTÃO DE CRÉDITO;1620"
"184-Sabrina Ribeiro;Feminino;Castanheiras/RO;02/01/1983;24/07/2022;C;31/08/2022;CARTÃO DE DÉBITO;3803"
"185-Diego Duarte;Masculino;São Francisco do Guaporé/RO;15/12/1995;09/07/2022;B;28/09/2022;PARCELADO;5150"
"186-Gustavo Carvalho;Masculino;Candeias do Jamari/RO;25/01/1962;20/07/2022;A;25/09/2022;CARTÃO DE CRÉDITO;1182"
"187-Guilherme Coelho;Masculino;Vilhena/RO;22/05/1984;10/08/2022;B;28/09/2022;PARCELADO;1182"
"188-Daniela Freitas;Feminino;Urupá/RO;08/05/1976;28/07/2022;C;29/09/2022;PARCELADO;1048"
"189-Laura Batista;Feminino;Cujubim/RO;14/06/1965;14/08/2022;C;16/09/2022;PIX;2622"
"190-Mariana Nascimento;Feminino;Cacoal/RO;12/07/1978;20/08/2022;C;21/09/2022;CARTÃO DE CRÉDITO;4618"
"191-Bryan Nascimento;Masculino;Rio Crespo/RO;26/05/2003;21/08/2022;C;22/08/2022;PARCELADO;2054"
"192-Carolina Vieira;Feminino;Campo Novo de Rondônia/RO;21/12/1986;08/07/2022;C;07/08/2022;CARTÃO DE DÉBITO;7480"
"193-Cláudia Castro;Feminino;Campo Novo de Rondônia/RO;30/03/1995;10/07/2022;C;21/07/2022;PIX;2622"
"194-Ana Monteiro;Feminino;Campo Novo de Rondônia/RO;13/12/1979;11/08/2022;B;28/09/2022;BOLETO;789"
"195-Renata Mata;Feminino;Novo Horizonte do Oeste/RO;23/06/1958;29/08/2022;C;02/09/2022;CARTÃO DE DÉBITO;1048"
"196-Bruno Oliveira;Masculino;Alto Alegre dos Parecis/RO;30/01/1967;26/07/2022;C;19/08/2022;CARTÃO DE DÉBITO;789"
"197-Renata Castro;Feminino;Alta Floresta D'Oeste/RO;27/12/1989;12/07/2022;C;19/09/2022;PARCELADO;8899"
"198-Cauã Alves;Masculino;Ministro Andreazza/RO;24/03/1993;16/08/2022;A;19/09/2022;PARCELADO;1182"
"199-Juliana Fonseca;Feminino;Mirante da Serra/RO;28/03/1992;03/07/2022;C;09/09/2022;PARCELADO;6235"
"200-Rodrigo Machado;Masculino;Rolim de Moura/RO;18/10/1978;25/07/2022;C;06/09/2022;BOLETO;789"
"201-Gabriel Silveira;Masculino;Cerejeiras/RO;19/05/1965;31/08/2022;B;06/09/2022;PARCELADO;2054"
"202-Cauã Monteiro;Masculino;Guajará-Mirim/RO;26/01/1995;12/08/2022;C;14/08/2022;PARCELADO;4618"
"203-Bianca Azevedo;Feminino;Santa Luzia D'Oeste/RO;29/01/1999;05/08/2022;C;14/09/2022;CARTÃO DE CRÉDITO;5150"
"204-Camila Souza;Feminino;Vilhena/RO;30/03/1982;23/07/2022;C;15/09/2022;PARCELADO;1048"
"205-Bruno Araújo;Masculino;Porto Velho/RO;10/05/1961;18/08/2022;;19/08/2022;PIX;789"
"206-Larissa Machado;Feminino;Theobroma/RO;05/07/1980;30/07/2022;B;02/08/2022;BOLETO;3803"
"207-Vítor Teixeira;Masculino;Jaru/RO;05/12/1998;10/08/2022;;11/09/2022;PIX;1556"
"208-Rodrigo Mata;Masculino;Mirante da Serra/RO;25/03/1996;28/07/2022;;20/08/2022;CARTÃO DE CRÉDITO;2054"
"209-Larissa Pereira;Feminino;Novo Horizonte do Oeste/RO;26/11/1968;31/07/2022;C;22/09/2022;CARTÃO DE CRÉDITO;2622"
"210-Joaquim Ferreira;Masculino;São Miguel do Guaporé/RO;17/08/1996;19/08/2022;B;28/09/2022;PARCELADO;4618"
"211-Laura Freitas;Feminino;Rolim de Moura/RO;13/08/1968;02/08/2022;A;26/08/2022;PARCELADO;6235"
"212-Henrique Oliveira;Masculino;Alta Floresta D'Oeste/RO;10/11/1971;20/07/2022;C;28/09/2022;CARTÃO DE CRÉDITO;5150"
"213-Diego Araújo;Masculino;Porto Velho/RO;02/10/1976;24/08/2022;C;23/09/2022;CARTÃO DE DÉBITO;8899"
